# x, y, U, V, k
6.00E-02, 1.00E-02, 5.04E+00, 5.30E-03, 3.72E-03
8.00E-02, 1.25E-02, 4.86E+00, 6.17E-02, 4.34E-03
1.00E-01, 1.50E-02, 4.69E+00, 1.77E-01, 5.34E-03
1.20E-01, 1.75E-02, 4.68E+00, 2.86E-01, 6.41E-03
1.40E-01, 2.00E-02, 4.61E+00, 3.24E-01, 8.39E-03
1.60E-01, 2.25E-02, 4.42E+00, 2.97E-01, 7.65E-03
1.80E-01, 2.50E-02, 4.37E+00, 2.27E-01, 1.16E-02
2.00E-01, 2.75E-02, 4.23E+00, 1.21E-01, 1.52E-02
2.20E-01, 3.00E-02, 4.03E+00, 4.86E-02, 2.05E-02
2.40E-01, 3.25E-02, 3.81E+00, 3.42E-02, 2.78E-02
2.60E-01, 3.50E-02, 3.76E+00, 2.95E-02, 2.84E-02
2.80E-01, 3.75E-02, 3.71E+00, 1.94E-02, 3.49E-02
3.00E-01, 4.00E-02, 3.60E+00, -1.41E-03,4.14E-02 
