# x, y, U, V, k
0.15, 0.0007424632907, -6.649770588E-002, 6.230092142E-003, 6.140746642E-003
0.15, 0.001095084906, -8.369540423E-002, 4.883924033E-003, 9.206864983E-003
0.15, 0.001447564483, -7.791975886E-002, 6.596251857E-003, 1.369089261E-002
0.15, 0.001800225854, -3.424344584E-002, 7.103087846E-003, 2.257054858E-002
0.15, 0.002152912855, 5.423238128E-002, 9.428004734E-003, 4.174415767E-002
0.15, 0.002505599976, 1.960199624E-001, 1.406987943E-002, 7.384502888E-002
0.15, 0.00285828805, 5.208303332E-001, 2.548240311E-002, 1.486860365E-001
0.15, 0.003210975409, 9.005929828E-001, 3.927577659E-002, 2.059504986E-001
0.15, 0.00356363821, 1.334730148E+000, 5.577514321E-002, 2.490897477E-001
0.15, 0.003916117907, 1.830612540E+000, 7.721222192E-002, 2.942129076E-001
0.15, 0.00426873827, 2.352123737E+000, 1.015011892E-001, 2.986310422E-001
0.15, 0.004621425629, 2.869937181E+000, 1.282868385E-001, 2.777860165E-001
0.15, 0.004974112511, 3.333401442E+000, 1.572251320E-001, 2.400834113E-001
0.15, 0.005326800346, 3.765130043E+000, 1.853320599E-001, 1.974714100E-001
0.15, 0.005679488182, 4.130766392E+000, 2.091643214E-001, 1.473158598E-001
0.15, 0.006032175064, 4.390488148E+000, 2.262123376E-001, 8.450991660E-002
0.15, 0.006384671211, 4.521494865E+000, 2.320926636E-001, 5.009218305E-002
0.15, 0.006737250328, 4.607106209E+000, 2.338633090E-001, 2.782334760E-002
0.15, 0.007089937687, 4.651669502E+000, 2.319447100E-001, 1.775401272E-002
0.15, 0.007442625046, 4.665597916E+000, 2.332459986E-001, 1.656391285E-002
0.15, 0.007795312405, 4.673192024E+000, 2.343155891E-001, 1.601991989E-002
0.15, 0.008147999763, 4.675635815E+000, 2.357569486E-001, 1.610049605E-002
0.15, 0.008500687599, 4.676652431E+000, 2.385157794E-001, 1.635295898E-002
0.15, 0.008853224754, 4.677468300E+000, 2.398777902E-001, 1.613201573E-002
0.15, 0.009205762863, 4.678110123E+000, 2.409663349E-001, 1.589107886E-002
0.15, 0.009558449745, 4.678322315E+000, 2.425326258E-001, 1.618509553E-002
0.15, 0.009911136627, 4.676522255E+000, 2.470463514E-001, 1.602755114E-002
0.15, 0.01026382446, 4.675219059E+000, 2.519032359E-001, 1.579893194E-002
0.15, 0.01061651325, 4.675012589E+000, 2.563235760E-001, 1.532799099E-002
0.15, 0.01096920013, 4.675620079E+000, 2.597577274E-001, 1.575151086E-002
0.15, 0.01132188702, 4.675683498E+000, 2.601472735E-001, 1.602119207E-002
0.15, 0.01167455673, 4.675420761E+000, 2.581194639E-001, 1.608587056E-002
0.15, 0.01202703667, 4.675477505E+000, 2.575055957E-001, 1.660776138E-002
